FID,DPTO_CCDGO,MPIO_CCDGO,CPOB_CNMBR,CPOB_NANO,CPOB_CSMBL,latitude,longitude,DPNP,DPNP_Dbl,Desplazado,Refugiados,IDPs,TotalImpct
992,15,774,SUSACÓN,2011,5,6.230774736540000,-72.689788030399995,15774,15774.000000000000000,170.000000000000000,6.000000000000000,0.000000000000000,176.000000000000000
993,15,776,SUTAMARCHÁN,2011,5,5.620143908740000,-73.620563706100000,15776,15776.000000000000000,12.000000000000000,59.000000000000000,0.000000000000000,71.000000000000000
994,15,778,SUTATENZA,2011,5,5.023242631120000,-73.452046721599999,15778,15778.000000000000000,12.000000000000000,58.000000000000000,0.000000000000000,70.000000000000000
995,15,790,TASCO,2011,5,5.910719847230000,-72.780549402000005,15790,15790.000000000000000,65.000000000000000,95.000000000000000,0.000000000000000,160.000000000000000
996,15,798,TENZA,2011,5,5.076831566230000,-73.421651152199999,15798,15798.000000000000000,6.000000000000000,16.000000000000000,0.000000000000000,22.000000000000000
997,15,808,TINJACÁ,2011,5,5.579019328940000,-73.647149095600000,15808,15808.000000000000000,5.000000000000000,23.000000000000000,0.000000000000000,28.000000000000000
998,15,814,TOCA,2011,5,5.564266575460000,-73.185076221499997,15814,15814.000000000000000,11.000000000000000,42.000000000000000,0.000000000000000,53.000000000000000
999,15,835,TURMEQUÉ,2011,5,5.323456225750000,-73.491250045599998,15835,15835.000000000000000,11.000000000000000,15.000000000000000,0.000000000000000,26.000000000000000
1000,15,837,TUTA,2011,5,5.690070099250000,-73.228266396300000,15837,15837.000000000000000,24.000000000000000,61.000000000000000,0.000000000000000,85.000000000000000
1001,15,842,ÚMBITA,2011,5,5.217753075310000,-73.457452668200006,15842,15842.000000000000000,79.000000000000000,110.000000000000000,0.000000000000000,189.000000000000000
1002,15,762,SORA,2011,5,5.566856540810000,-73.449867262900000,15762,15762.000000000000000,3.000000000000000,5.000000000000000,0.000000000000000,8.000000000000000
